Class Catalogue - Class Search Results,,,,,,,
,,,,,,,
Search Type:,Class Search,,,,,,
Session:,Academic Year 2021/2022,,,,,,
Credit Scheme:,Strathclyde Standard 2003 and after,,,,,,
Classification:,Undergraduate,,,,,,
,,,,,,,
,,,,,,,
CODE,TITLE,CREDITS,LEVEL,UG/PG/CE,SEMESTER,EXCHANGE,ELECTIVE
BM113,C P U Biological Sciences 1,120,Level 1,Undergraduate,Full Year 2021/2022,N,NE
BM215,C P U Biological Sciences 2,120,Level 2,Undergraduate,Full Year 2021/2022,N,NE
BM331,C P U Biological Sciences 3,120,Level 3,Undergraduate,Full Year 2021/2022,N,NE
L2237,Can Democracy Deliver?,20,Level 2,Undergraduate,Full Year 2021/2022,Y,EO
L2344,Can Democracy Deliver?,20,Level 3,Undergraduate,Full Year 2021/2022,Y,EO
L2433,Can Democracy Deliver?,20,Level 4,Undergraduate,Full Year 2021/2022,Y,EO
L2501,Can Democracy Deliver?,20,Level 5,Undergraduate,Full Year 2021/2022,Y,EO
CH437,Careers Skills,20,Level 4,Undergraduate,Full Year 2021/2022,Y,NE
16402,Case Studies In Engineering,10,Level 4,Undergraduate,Full Year 2021/2022,Y,NE
EE475,Ces Individual Project,40,Level 4,Undergraduate,Full Year 2021/2022,Y,NE
CH323,Chemical Biology,20,Level 3,Undergraduate,Full Year 2021/2022,N,PE
CP217,Chemical Engineering Practice 1,10,Level 2,Undergraduate,Full Year 2021/2022,N,NE
CP307,Chemical Engineering Practice 2,20,Level 3,Undergraduate,Full Year 2021/2022,N,NE
CP326,Chemical Engineering Practice 2 (Acce),10,Level 3,Undergraduate,Full Year 2021/2022,Y,NE
18417,Chemical Engineering Project,20,Level 4,Undergraduate,Full Year 2021/2022,Y,NE
CP102,"Chemical Engineering: Fundamentals, Techniques And Tools",20,Level 1,Undergraduate,Full Year 2021/2022,N,NE
CP327,Chemical Process Design And Simulation,20,Level 3,Undergraduate,Full Year 2021/2022,Y,PE
CL218,Chemistry And Materials Science,20,Level 2,Undergraduate,Full Year 2021/2022,N,NE
CH553,Chemistry Specialisation,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
CH480,Chemistry Specialisation Topics,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X9278,"Children'S Language, Literature And Literacy",20,Level 2,Undergraduate,Full Year 2021/2022,Y,PE
X7404,Children'S Literature,10,Level 4,Undergraduate,Full Year 2021/2022,Y,EO
OS251,Chinese (Mandarin) Stage 1a,10,Level 1,Undergraduate,Full Year 2021/2022,N,NE
OS252,Chinese (Mandarin) Stage 2,10,Level 1,Undergraduate,Full Year 2021/2022,N,NE
EO304,Civil Engineering Design Project,60,Level 3,Undergraduate,Full Year 2021/2022,N,NE
CL114,Civil Engineering Design Projects,20,Level 1,Undergraduate,Full Year 2021/2022,N,NE
EO407,Civil Engineering Individual Project,60,Level 4,Undergraduate,Full Year 2021/2022,N,NE
B6116,Clinical And Professional Capabilities 1,20,Level 1,Undergraduate,Full Year 2021/2022,N,NE
B6234,Clinical And Professional Capabilities 2,20,Level 2,Undergraduate,Full Year 2021/2022,N,NE
B6118,Clinical Phonetics And Phonology,20,Level 1,Undergraduate,Full Year 2021/2022,N,NE
B1221,Coaching Practice And Sport Development,20,Level 2,Undergraduate,Full Year 2021/2022,N,NE
MM401,Communicating Mathematics And Statistics,20,Level 4,Undergraduate,Full Year 2021/2022,N,PE
PH385,Communicating Physics,20,Level 3,Undergraduate,Full Year 2021/2022,Y,PE
BF104,Communication Skills,20,Level 1,Undergraduate,Full Year 2021/2022,N,NE
EE471,Communications Networks,20,Level 4,Undergraduate,Full Year 2021/2022,Y,PE
PH185,Computational And Physics Skills,20,Level 1,Undergraduate,Full Year 2021/2022,N,NE
PH285,Computational And Physics Skills,20,Level 2,Undergraduate,Full Year 2021/2022,N,NE
PH388,Computational Physics,20,Level 3,Undergraduate,Full Year 2021/2022,Y,NE
