Module Title,Degree Level,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Molecular And Interfacial Science,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Chemical Engineering (MSc)
Risk Analysis Management,Postgraduate taught,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Environmental Impact Assessment,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Financial Engineering,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Clinical Pharmacy Practice (MSc)
Advanced clinical assessment And consultation skills,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced therapeutics And health innovation,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO
Clinical practice attachment,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Quality Improvement Methodology,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pharmacist Independent Prescribing,Postgraduate taught,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Clinical service development,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Computer Science (MSc)
Big Data Technologies (20),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Computer Science with Artificial Intelligence (MSc)
"Legal, Ethical And Professional Issues for the Information Society",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Quantitative Methods for Artificial Intelligence,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Deep Learning Theory And Practices,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Planning with Uncertainty,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Deep Learning in Visual Computing Applications,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Game Theory And Multi-agent Systems,Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mobile Software And Applications (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
AI for Finance (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Distributed Information Systems (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Fundamentals of Machine Learning for Data Analytics (10 credits),Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Information Retrieval (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Business Analysis (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Evolutionary Computation For Finance﻿ 1 (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Big Data Tools And Techniques (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Computer Science with Big Data (MSc)
Mobile Software Applications (20),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Evolutionary Computing for Finance (20),Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Construction Technologies & BIM (MSc/PgDip/PgCert)
Advanced Construction Technologies,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Facilities Management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Contract Administration And Practice,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Design management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Project management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
The Construction Industry Client,Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Knowledge And Information Management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Financial engineering,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Risk Management,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Drug Delivery (MSc)
Skills for Pharmaceutical Students,Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pharmaceutical Formulation And Clinical Pharmaceutics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chemical And Spectroscopic Methods,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Pharmaceutical Project Management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Topics in Drug Delivery,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Novel therapeutics And biopharmaceuticals,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Advanced Electrical Power & Energy Systems (MSc)
Power Electronics for Energy And Drive Control,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Power System Economics, Markets And Asset Management",Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Power And Energy Systems,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Control Principles (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Wind Turbine Technology,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Offshore and Pan European Supergrids,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Hardware IoT Communication System Design,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Data Analytics And AI for Energy Systems,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
MSc Research Project,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Immunology (MSc)
Postgraduate Studies in Immunology,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Postgraduate Studies in Applied Immunology,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Postgraduate Studies in Clinical Immunology,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Manufacturing: Technology & Systems (MSc)
Strategic Technology Management (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Manufacturing Automation (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Micro- and Nano-Manufacturing (10 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Forming and Technology Systems (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Materials And Production Technology (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mechatronic Systems Design Techniques (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Strategic Supply Chain Management (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Fundamentals of Lean Six Sigma (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sustainable Product Design And Manufacturing (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO
Systems Thinking And Modelling (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Design of Experiments for Process Optimisation (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Materials Engineering (MSc)
Fundamentals of Materials Science,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Degradation of Metals and Alloys,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Industrial Metallurgy,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Materials Processing And Manufacturing,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
Design Management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Tissues mechanics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Biomaterials And Biocompatibility,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Prestressed Concrete, Composite Materials And Structural Stability",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Molecular And Interfacial Science (online),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Mechanical Engineering (MSc)
Materials for High Temperature Applications,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gas And Steam Turbines,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
Energy Resources And Policy,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO
Electrical Power Systems,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Energy Modelling And Monitoring,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
"Advanced Mechanical Engineering (Distance Learning) (MSc/PgDip/PgCert
)"
Introduction to Open Source Computational Dynamics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Applied Metallurgy,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Structural Integrity,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Boiler Thermal Hydraulics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Nuclear Power Systems,Postgraduate taught,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Aerodynamics in C,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Advanced Mechanical Engineering by Modular study (MSc, PGDip, PGCert)"
Introduction to Open Source Computational Fluid Dynamics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pressurised systems,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Energy Resources and Policy,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
Energy Systems Analysis,Postgraduate taught,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Energy Modelling and Monitoring,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
Introduction to Satellite Applications,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Introduction to Space Technologies for Satellite Applications,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Hydraulics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
FEA In Mechanical Engineering Design,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Polymer and Polymer Composites,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Engineering Artificial Environments,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Payloads,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Satellite Applications for Sustainable Development Goals,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Data Science for Satellite Applications,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Gas and Steam Turbines,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
Degradation of Metal And Alloys,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Mechanical Engineering with Aerospace (MSc)
Information Management,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Knowledge Engineering And Management for Engineers,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Mechanical Engineering with Energy Systems (MSc)
Advanced Mechanical Engineering with Industrial Placement (MSc)
Advanced Mechanical Engineering with Materials (MSc)
Advanced Mechanical Engineering with Power Plant Technologies (MSc)
Advanced Naval Architecture (MSc)
Advanced Marine Structures,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ship Powering in Service,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ship Operability and Control,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Maritime Safety and Risk,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Inspection and Survey,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Shipping Economics and Market Sector Analysis,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
Data Analysis for Engineering,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
Advanced Pharmaceutical Manufacturing (MSc)
Generic Biomedical And Pharmaceutical Research Skills,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Industrial Pharmacy,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
Process Analytical Technology And Quality by Design in Continuous Pharmaceutical Manufacturing,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Continuous Manufacturing of Pharmaceutical Particles And Products,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crystallisation And Formulation for Manufacture,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Continuous Manufacturing Research Project,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Pharmacology (MSc)
Postgraduate Studies in Pharmacology,Postgraduate taught,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Postgraduate Studies in Clinical Pharmacology,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Postgraduate Studies in Applied Pharmacology,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Physics (MSc/PgDip)
Introductory Nanoscience,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Nanoscience 1; Imaging And Microscopy,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Nanoscience 2; Solid State Nanoscience,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Topics in Photonics; Laser And Nonlinear Optics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Optical Design,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Experimental Quantum And Atom Optics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Topics in Photonics; Ultrafast Physics And Plasmas,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Device Microfabrication-Principle And Practice,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Photonics Materials And Devices (topics in solid state physics),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Photonics Devices,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Theoretical Quantum Information,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Quantum Optics, Nonlinearity And Open Quantum Systems",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Topics in Complex Systems,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Topics In Theoretical Physics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Topics In Electromagnetism And Plasma Physics,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Residential Child Care (MSc)
Advanced Science (MSc/PgDip/PgCert)
"Professional Development; Review, Reflection and Planning (20 credits)",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Science Research Project (60 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chemical and statistical analysis; principles and application (20 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chemical and spectroscopic methods (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Crystalisation and formulation for manufacture (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Targeted cancer therapies for personalised medicines (20 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Health Service Skills (20 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bioprocessing (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Core Neuroscience (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Functions of the Nervous System (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
Disorders of the Nervous System (20 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Essentials of Forensic Science; Theoretical (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
"Legal, Ethical and Professional Issues for the Information Society (10 credits)",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Big Data Fundamentals (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Big Data Tools and Techniques (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Health Information Governance (10 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Introduction to Programming Principles (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Object Oriented Programming (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Database Fundamentals (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Security Fundamentals (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Introductory Nanoscience (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Data Analytics in R,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Design and development of anticancer drugs (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Chromatography; principles, application and method development (20 credits)",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Bio-analysis, biotechnology and quality management (20 credits)",Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Radiobiology and radiation oncology; from beam to bedside (20 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Novel Therapeutics and biopharmaceuticals (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced drug delivery and nanotechnology (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Continuous manufacturing of pharmaceutical particles and products (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Drug discovery and development in cancer (20 credits),Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Applied biocatalysis (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Nanoscience 3; Chemical and Biomedical Nanoscience (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mobile Application Development (20 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Database Development (10 credits),Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Advanced Software Engineering (MSc)
Applied Economics (MSc)
Economics of Inequality and Inclusive Growth,Postgraduate taught,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO
Regional Policy Development,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Health Economic Policy,Postgraduate taught,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Applied Educational & Social Research (MSc)
Educational Research And Enquiry,Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
Design Strategies in Educational And Social Research,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Data Collection in Educational And Social Research,Postgraduate taught,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Data Analysis in Educational And Social Research,Postgraduate taught,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
